loss	model	dataset	filtering	type	set
0.405923345	TSS	PCOS	10	test	svmRadial
0.412311266	TSS	PCOS	10	test	svmRadial
0.429732869	TSS	PCOS	10	test	svmRadial
0.405923345	TSS	PCOS	10	test	svmRadial
0.411149826	ALRo	PCOS	50	test	svmRadial
0.592334495	ALRo	PCOS	50	test	svmRadial
0.593495935	ALRo	PCOS	50	test	svmRadial
0.574912892	ALRo	PCOS	50	test	svmRadial
0.528455285	ALRo	PCOS	50	test	svmRadial
0.593495935	ALRr	PCOS	50	test	svmRadial
0.590011614	ALRr	PCOS	50	test	svmRadial
0.409988386	ALRr	PCOS	50	test	svmRadial
0.594657375	ALRr	PCOS	50	test	svmRadial
0.590011614	ALRr	PCOS	50	test	svmRadial
0.370499419	ALRw	PCOS	50	test	svmRadial
0.521486643	ALRw	PCOS	50	test	svmRadial
0.466898955	ALRw	PCOS	50	test	svmRadial
0.653890825	ALRw	PCOS	50	test	svmRadial
0.550522648	ALRw	PCOS	50	test	svmRadial
0.606271777	CLR	PCOS	50	test	svmRadial
0.420441347	CLR	PCOS	50	test	svmRadial
0.580720093	CLR	PCOS	50	test	svmRadial
0.580720093	CLR	PCOS	50	test	svmRadial
0.606271777	CLR	PCOS	50	test	svmRadial
0.518002323	TSS	PCOS	50	test	svmRadial
0.526132404	TSS	PCOS	50	test	svmRadial
0.509872242	TSS	PCOS	50	test	svmRadial
0.448315912	TSS	PCOS	50	test	svmRadial
0.518002323	TSS	PCOS	50	test	svmRadial
