loss	type	model	dataset	filtering	procedure	set
0.647813731	training	model_bal_0	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.648668866	training	model_bal_0	I11	90	imputation	leaky
0.633946154	training	model_bal_1	I11	90	imputation	leaky
0.633946154	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.643231165	training	model_bal_1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.631476651	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.624494911	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.636565905	test	pred_bal_0_lr1	I11	90	imputation	leaky
0.640402025	test	pred_bal_0	I11	90	imputation	leaky
0.632550765	test	pred_bal_0	I11	90	imputation	leaky
0.629405146	test	pred_bal_0	I11	90	imputation	leaky
0.634750141	test	pred_bal_0	I11	90	imputation	leaky
0.639276763	test	pred_bal_0	I11	90	imputation	leaky
0.591171807	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.591171807	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
0.624546059	test	pred_bal_1_lr1	I11	90	imputation	leaky
